Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(SI),expr(LI),log(exprSI),log(exprLI)
MYO1D,0,-0.804853267,0.716,0.677,0,2.888323439,5.04582856,0.460645825,0.702932491
ZNF644,2.04E-58,-0.804982573,0.369,0.38,7.45E-54,0.80628772,1.408704822,-0.093509955,0.148820001
PHF21A,2.97E-24,-0.805297354,0.203,0.171,1.09E-19,0.393548199,0.687747462,-0.405002071,-0.162571003
TPBG,1.48E-42,-0.805445235,0.04,0.057,5.43E-38,0.065226565,0.114015146,-1.185575495,-0.943037452
MICAL3,2.18E-86,-0.80666045,0.255,0.293,7.98E-82,0.558202577,0.976404076,-0.253208163,-0.010370416
WDHD1,9.71E-12,-0.806666285,0.033,0.04,3.56E-07,0.045720802,0.079992904,-1.33988616,-1.096948539
LINC00571,1.01E-08,-0.80689967,0.081,0.089,0.000368244,0.13876696,0.24278525,-0.857713925,-0.614777701
DSTN,6.91E-270,-0.807210447,0.526,0.519,2.53E-265,1.442108789,2.52345736,0.158998024,0.401995971
LINC00342,6.47E-58,-0.807526048,0.107,0.135,2.37E-53,0.193795665,0.339202348,-0.712655941,-0.469541151
SPATA17,4.87E-18,-0.808585953,0.016,0.023,1.78E-13,0.023053976,0.040398626,-1.63725417,-1.393633404
TTC39A-AS1,2.77E-47,-0.809883361,0.006,0.014,1.01E-42,0.0110435,0.019379785,-1.956893267,-1.712651043
AC011997.1,2.73E-07,-0.811131194,0.019,0.023,0.010008898,0.025458007,0.04468807,-1.594175591,-1.349808402
TK1,1.83E-17,-0.811826621,0.044,0.055,6.68E-13,0.074798576,0.131323667,-1.12610667,-0.881656999
AL158198.1,1.33E-11,-0.812732812,0.012,0.017,4.86E-07,0.018614434,0.032716744,-1.730150171,-1.485229924
C9orf152,4.38E-107,-0.812815459,0.1,0.142,1.60E-102,0.168398911,0.295835457,-0.773660722,-0.528949775
BBC3,5.74E-61,-0.81308845,0.041,0.063,2.10E-56,0.06819003,0.119827582,-1.166279121,-0.921443206
GCAT,1.77E-63,-0.813591332,0.057,0.083,6.47E-59,0.078446873,0.137896597,-1.105424366,-0.860446452
FAM118A,2.36E-09,-0.813749353,0.119,0.128,8.63E-05,0.176623003,0.310483123,-0.752952737,-0.507962002
IPO4,2.32E-15,-0.81395507,0.024,0.032,8.48E-11,0.031942159,0.056174952,-1.495635733,-1.250457289
KLRG1,3.66E-14,-0.814057901,0.015,0.01,1.34E-09,0.020432534,0.035943314,-1.689677771,-1.444381887
PDE9A,6.74E-14,-0.814621413,0.368,0.362,2.47E-09,1.09705532,1.929560861,0.040228528,0.285458481
SLC27A5,1.19E-13,-0.815709826,0.02,0.026,4.36E-09,0.025642587,0.045155058,-1.591038164,-1.345293596
PACSIN2,1.96E-54,-0.81728987,0.333,0.351,7.17E-50,0.720841754,1.270209972,-0.142160065,0.103875518
NCBP1,3.50E-10,-0.817610967,0.111,0.121,1.28E-05,0.171912734,0.303013559,-0.764691953,-0.518537938
CACNB3,4.65E-22,-0.817764188,0.029,0.039,1.70E-17,0.041158381,0.072568684,-1.385541716,-1.139250755
XPO4,3.03E-17,-0.818181812,0.166,0.18,1.11E-12,0.27677463,0.488024146,-0.55787372,-0.31155869
UBE2E1,3.06E-34,-0.818992048,0.291,0.307,1.12E-29,0.559206166,0.986556403,-0.252428049,-0.005878081
NEDD9,2.90E-98,-0.8190477,0.265,0.309,1.06E-93,0.694760431,1.225744862,-0.158164924,0.088400081
ICAM3,2.28E-22,-0.819795672,0.077,0.093,8.35E-18,0.110174717,0.194495561,-0.957918054,-0.711090307
COPRS,1.01E-20,-0.820052717,0.06,0.074,3.69E-16,0.081155125,0.143296985,-1.090684048,-0.843762946
METTL8,1.87E-11,-0.8210932,0.103,0.114,6.84E-07,0.15626296,0.276096715,-0.806143953,-0.558938761
APMAP,9.44E-31,-0.821215635,0.097,0.118,3.46E-26,0.139452169,0.246417259,-0.855574726,-0.608328877
ATXN10,2.80E-39,-0.821818994,0.201,0.225,1.02E-34,0.352364911,0.622871991,-0.453007345,-0.205601198
KDM2B,1.15E-10,-0.821825801,0.097,0.085,4.22E-06,0.14268016,0.252227437,-0.845636413,-0.598207674
ACSL3,4.10E-48,-0.821874624,0.233,0.26,1.50E-43,0.429121719,0.758579128,-0.367419504,-0.119999111
RCL1,2.21E-11,-0.823851749,0.082,0.092,8.10E-07,0.117928202,0.208767829,-0.928382325,-0.680336425
RPS6KA2,7.36E-10,-0.825032458,0.064,0.072,2.69E-05,0.11347028,0.201041226,-0.945117873,-0.696714875
CIT,3.82E-10,-0.826815773,0.034,0.04,1.40E-05,0.055376904,0.098245845,-1.256671326,-1.007685807
CACNB2,1.21E-115,-0.827699522,0.274,0.312,4.42E-111,0.76750219,1.362223739,-0.114920377,0.134248444
ZNF202,8.10E-15,-0.827741781,0.024,0.032,2.97E-10,0.03359471,0.05964761,-1.473729107,-1.224406955
PPARD,2.30E-07,-0.828711703,0.121,0.128,0.00842863,0.212086254,0.376706323,-0.673487478,-0.42399709
ALDH1B1,6.39E-60,-0.82890287,0.075,0.102,2.34E-55,0.117937297,0.20951625,-0.928348831,-0.678782287
UGGT2,1.05E-38,-0.829112316,0.206,0.229,3.86E-34,0.397718064,0.706602916,-0.400424683,-0.150824574
EMSY,5.17E-24,-0.829150997,0.156,0.175,1.89E-19,0.271642598,0.482631206,-0.566002124,-0.316384601
EHD4,3.41E-19,-0.82964264,0.14,0.157,1.25E-14,0.252301155,0.448421225,-0.598080761,-0.348313839
CEP68,2.60E-12,-0.829747503,0.052,0.061,9.53E-08,0.071899295,0.127812197,-1.143275371,-0.893427699
POU2F3,1.17E-42,-0.830096979,0.02,0.033,4.29E-38,0.121690174,0.216361634,-0.914744487,-0.664819748
AK1,2.77E-29,-0.831044506,0.081,0.098,1.01E-24,0.149014883,0.265113707,-0.826770354,-0.576567818
AXIN2,2.00E-55,-0.831320834,0.055,0.079,7.33E-51,0.084347537,0.150101003,-1.073927593,-0.823616405
LMLN,1.08E-08,-0.832528007,0.02,0.025,0.000394454,0.028647122,0.051035192,-1.542919009,-1.292130245
FTO,2.39E-09,-0.834353375,0.244,0.246,8.77E-05,0.466103796,0.831110308,-0.33151736,-0.080341331
MTMR2,2.13E-14,-0.834647169,0.096,0.109,7.80E-10,0.148195381,0.26431509,-0.829165332,-0.577878041
PNO1,1.62E-15,-0.835088305,0.06,0.072,5.93E-11,0.080012251,0.142759525,-1.096843514,-0.845394906
ESRP1,7.09E-174,-0.83556125,0.303,0.356,2.59E-169,0.62090491,1.108056952,-0.206974906,0.044562083
MDN1,2.28E-17,-0.835923021,0.164,0.178,8.33E-13,0.287914806,0.513947947,-0.540736,-0.289080864
LINS1,3.08E-08,-0.835953824,0.065,0.073,0.001127085,0.097547172,0.174145686,-1.010785318,-0.759087281
