Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,logEpithelialcells,logGobletcells
BCL2L11,3.41E-09,-1.134970657,0.086,0.098,0.000124698,0.310472363,0.141322045,-0.507977053,-0.849790087
COBLL1,4.33E-197,-1.135576866,0.203,0.298,1.59E-192,0.908687713,0.413542096,-0.041585344,-0.383480276
AC242988.2,3.60E-15,-1.142031087,0.016,0.026,1.32E-10,0.043163155,0.019508386,-1.364886818,-1.709778668
AC138123.1,5.26E-39,-1.145044088,0.035,0.058,1.92E-34,0.121325394,0.054810653,-0.916048291,-1.261135023
ADD3,0,-1.147924327,0.327,0.452,0,1.626071443,0.73375405,0.211139623,-0.134449489
CEP70,6.20E-202,-1.149329447,0.114,0.207,2.27E-197,0.459033187,0.206898329,-0.338155915,-0.684243018
ERO1A,1.97E-171,-1.150735716,0.133,0.219,7.21E-167,0.491507589,0.221323025,-0.308469772,-0.654973402
ABCA13,3.31E-44,-1.151150447,0.013,0.031,1.21E-39,0.063126184,0.028373799,-1.199790466,-1.547082508
ECE1,5.20E-109,-1.152573161,0.145,0.21,1.90E-104,0.532142237,0.239319623,-0.273972269,-0.62102169
TARID,5.06E-07,-1.1530129,0.009,0.013,0.018512181,0.030529747,0.013678992,-1.515276795,-1.863945907
AKR1B10,4.79E-192,-1.153410113,0.239,0.331,1.75E-187,1.276000219,0.573590588,0.105850749,-0.241397984
C18orf54,1.48E-07,-1.1543166,0.006,0.01,0.00542331,0.0177275,0.007914808,-1.751352509,-2.101559611
HAPLN4,9.47E-27,-1.157749425,0.032,0.049,3.47E-22,0.097950429,0.043852686,-1.008993658,-1.358003804
TRPC7-AS1,1.98E-30,-1.157960234,0.021,0.037,7.25E-26,0.052369859,0.023419534,-1.280918592,-1.630421747
TNFRSF1B,3.13E-36,-1.161733842,0.054,0.08,1.15E-31,0.180762877,0.080746691,-0.742890754,-1.092875265
GNPTAB,3.87E-136,-1.163769719,0.176,0.253,1.42E-131,0.723128004,0.322714563,-0.14078482,-0.491181436
