Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,log(Epithelialcells),log(Gobletcells)
DEPTOR,2.71E-33,-0.809129049,0.084,0.248,9.93E-29,0.457674004,0.260335947,-0.339443755,-0.58446586
SPRY1,2.23E-25,-0.809621733,0.083,0.217,8.17E-21,0.384537175,0.218519898,-0.415061669,-0.660509012
SULT1B1,5.97E-39,-0.809999552,0.145,0.35,2.19E-34,0.866357737,0.493284241,-0.062302742,-0.306902759
MUC13,1.85E-28,-0.810801144,0.217,0.398,6.75E-24,2.79786336,1.594093902,0.446826501,0.2025139
RPUSD2,2.45E-11,-0.811179178,0.025,0.081,8.96E-07,0.089270858,0.050006222,-1.04929029,-1.300975954
MMAA,7.65E-07,-0.81212063,0.03,0.068,0.027996704,0.085048282,0.047568084,-1.070334455,-1.322684341
SPNS1,5.66E-30,-0.812476818,0.087,0.241,2.07E-25,0.376102993,0.213283686,-0.42469321,-0.671042362
OLFM3,7.63E-18,-0.812658663,0.063,0.162,2.79E-13,0.30595118,0.173317043,-0.514347867,-0.76115873
MIIP,1.70E-15,-0.81383011,0.033,0.107,6.22E-11,0.129806498,0.072972301,-0.886703566,-1.13684196
CFD,3.57E-22,-0.814826437,0.064,0.181,1.31E-17,0.297256721,0.168112896,-0.526868317,-0.77439897
DICER1-AS1,4.97E-09,-0.815467066,0.018,0.061,0.000181754,0.071027466,0.039488867,-1.14857368,-1.403525324
CD7,1.17E-13,-0.815937326,0.013,0.07,4.28E-09,0.087691476,0.048941524,-1.057042622,-1.310322514
RIC8A,2.41E-19,-0.816408019,0.056,0.159,8.80E-15,0.213958748,0.120626649,-0.669669953,-0.918556737
SLC51B,2.26E-33,-0.81667542,0.054,0.203,8.29E-29,0.309726567,0.174976192,-0.509021542,-0.75702104
PSRC1,6.46E-11,-0.816727178,0.018,0.066,2.36E-06,0.105724607,0.059152177,-0.975823919,-1.228029271
VMA21,4.54E-18,-0.817445648,0.056,0.153,1.66E-13,0.184743937,0.10396147,-0.733429805,-0.983127586
PECR,1.44E-12,-0.817446991,0.034,0.098,5.25E-08,0.130752806,0.073324364,-0.883548981,-1.134751695
THAP8,1.92E-10,-0.817750141,0.024,0.074,7.01E-06,0.077044055,0.042838403,-1.113260867,-1.368166726
OXLD1,9.27E-16,-0.819490264,0.055,0.143,3.39E-11,0.179622111,0.100910752,-0.745640204,-0.99606256
EXOSC5,7.21E-19,-0.819763682,0.06,0.162,2.64E-14,0.222954333,0.125440671,-0.651784084,-0.901561631
CLU,6.65E-38,-0.820254807,0.279,0.486,2.43E-33,2.380228422,1.347152399,0.376618637,0.129416729
SH3BP4,9.05E-18,-0.820336632,0.04,0.127,3.31E-13,0.181136701,0.10170878,-0.741993547,-0.992641553
AASDHPPT,1.56E-22,-0.82035439,0.076,0.198,5.70E-18,0.29548226,0.16646173,-0.529468588,-0.778685596
NME4,7.18E-36,-0.820467751,0.146,0.339,2.63E-31,0.952694122,0.538600267,-0.021046514,-0.268733436
NOVA1,1.22E-29,-0.82108758,0.111,0.271,4.47E-25,0.593382722,0.334992864,-0.226665104,-0.474964444
CENPO,6.12E-08,-0.821786451,0.016,0.052,0.002241418,0.059893992,0.033013771,-1.222616743,-1.48130487
SLC25A36,7.29E-38,-0.822414638,0.18,0.391,2.67E-33,0.957339026,0.54049941,-0.018934237,-0.267204776
TROAP,1.48E-10,-0.822637183,0.013,0.058,5.43E-06,0.088132317,0.048959951,-1.054864812,-1.31015903
LINC01133,7.98E-08,-0.822724595,0.05,0.099,0.002920704,0.17351679,0.097231024,-0.760658495,-1.012195141
TSPAN6,7.18E-39,-0.823235611,0.172,0.385,2.63E-34,0.87867754,0.495734078,-0.056170474,-0.304751226
MTERF3,1.24E-10,-0.824087175,0.025,0.077,4.54E-06,0.092146542,0.051177278,-1.035520957,-1.290922819
CEBPD,5.09E-31,-0.824356613,0.128,0.3,1.86E-26,0.818034495,0.461101161,-0.087228382,-0.336203784
HMBS,3.20E-21,-0.825130596,0.048,0.154,1.17E-16,0.1930581,0.108097265,-0.714311971,-0.966185295
PANCR,8.88E-21,-0.826033246,0.023,0.112,3.25E-16,0.131501315,0.07330627,-0.881069904,-1.134858875
PLAGL1,2.47E-28,-0.826335549,0.103,0.256,9.05E-24,0.556447976,0.312943598,-0.254575433,-0.504533929
KIFC3,7.58E-21,-0.826930461,0.079,0.195,2.77E-16,0.380006249,0.213349183,-0.420209262,-0.670909015
MCM3AP-AS1,2.28E-10,-0.826996079,0.023,0.073,8.34E-06,0.08995055,0.049834539,-1.045996175,-1.302469558
SMARCA1,2.68E-28,-0.827782603,0.084,0.232,9.82E-24,0.46141936,0.259090385,-0.335904187,-0.586548704
CISH,7.90E-13,-0.827967003,0.038,0.104,2.89E-08,0.125472919,0.06981097,-0.90145,-1.15607633
CHML,5.20E-11,-0.82802278,0.019,0.069,1.90E-06,0.080133357,0.044268429,-1.096186661,-1.353905888
AL354771.1,3.35E-10,-0.828328757,0.022,0.071,1.22E-05,0.126989961,0.070647617,-0.896230609,-1.150902486
SHBG,9.12E-12,-0.82847123,0.022,0.076,3.34E-07,0.088610274,0.049027967,-1.052515923,-1.309556117
WEE2,4.85E-07,-0.828713633,0.013,0.044,0.017738152,0.040553173,0.021961943,-1.391975164,-1.658329249
AC138123.1,2.24E-17,-0.830876934,0.065,0.162,8.19E-13,0.348650811,0.195136334,-0.45760932,-0.709661858
PRPF4,6.20E-19,-0.831450416,0.039,0.13,2.27E-14,0.170952715,0.095198502,-0.767123997,-1.021369886
CENPL,4.51E-07,-0.831608322,0.016,0.048,0.016510649,0.050853946,0.02770419,-1.293675338,-1.557454538
ICMT,1.24E-15,-0.831739833,0.034,0.111,4.53E-11,0.144504376,0.080319197,-0.840119,-1.095180641
TMEM256,3.06E-35,-0.831912215,0.348,0.538,1.12E-30,2.648751018,1.487155526,0.423041137,0.172356389
C5orf51,3.10E-14,-0.831989939,0.033,0.104,1.14E-09,0.123180121,0.068326139,-0.909459373,-1.165413119
SLC46A3,5.27E-09,-0.832063965,0.068,0.127,0.000192917,0.340579323,0.190441165,-0.467781722,-0.720239171
MEP1A,3.80E-40,-0.832651253,0.199,0.417,1.39E-35,1.399552163,0.784972765,0.14598909,-0.105145411
NIT2,1.37E-35,-0.832846086,0.112,0.293,5.01E-31,0.529706554,0.296517398,-0.275964654,-0.52794982
LINC02595,1.11E-06,-0.833124828,0.008,0.034,0.040696092,0.037838591,0.020368484,-1.422065043,-1.691041299
ARHGAP11B,8.72E-15,-0.833295135,0.011,0.071,3.19E-10,0.110408052,0.061095287,-0.956999254,-1.213992292
AC005550.2,1.66E-07,-0.834558404,0.018,0.053,0.006092127,0.060121575,0.032842668,-1.220969653,-1.483561568
