"","rownames.merged.gut...RNA....counts."
"1136","SSBP3-AS1"
"1137","AL161644.1"
"1138","AL035415.1"
"1139","AC099796.2"
"1140","LINC02784"
"1141","ACOT11"
"1142","FAM151A"
"1143","AL590093.1"
"1144","MROH7"
"1145","TTC4"
"1146","PARS2"
"1147","TTC22"
"1148","AC096536.1"
"1149","LEXM"
"1150","DHCR24"
"1151","AC096536.3"
"1152","AC096536.2"
"1153","DHCR24-DT"
"1154","AL590440.2"
"1155","TMEM61"
"1156","AL590440.1"
"1157","BSND"
"1158","PCSK9"
"1159","USP24"
"1160","MIR4422HG"
"1161","AL603840.1"
"1162","LINC01755"
"1163","LINC01753"
"1164","AL353681.1"
"1165","AC119674.1"
"1166","LINC01767"
"1167","PLPP3"
"1168","PRKAA2"
"1169","FYB2"
"1170","AL360295.1"
"1171","C8A"
"1172","C8B"
"1173","AL161740.1"
"1174","DAB1"
"1175","AL390243.1"
"1176","DAB1-AS1"
"1177","AL445193.2"
"1178","OMA1"
"1179","AL035411.3"
"1180","TACSTD2"
"1181","MYSM1"
"1182","AL136985.3"
"1183","JUN"
"1184","LINC01135"
"1185","AL136985.2"
"1186","AL136985.1"
"1187","LINC02777"
"1188","LINC01358"
"1189","AL592431.2"
"1190","AL592431.1"
"1191","AC093425.1"
"1192","AC093424.1"
"1193","FGGY"
"1194","AL035416.1"
"1195","HOOK1"
"1196","CYP2J2"
"1197","C1orf87"
"1198","LINC02778"
"1199","LINC01748"
"1200","AC099792.1"
"1201","NFIA"
"1202","NFIA-AS2"
"1203","NFIA-AS1"
"1204","AC099791.3"
"1205","AC099791.4"
"1206","TM2D1"
"1207","AC099791.2"
"1208","PATJ"
"1209","L1TD1"
"1210","KANK4"
"1211","USP1"
"1212","DOCK7"
"1213","ANGPTL3"
"1214","AC103923.1"
"1215","ATG4C"
"1216","AC099794.1"
"1217","LINC01739"
"1218","AL162400.3"
"1219","AL162400.1"
"1220","AL162400.2"
"1221","AC096543.1"
"1222","LINC00466"
"1223","AC096543.2"
"1224","FOXD3-AS1"
"1225","FOXD3"
"1226","ALG6"
"1227","ITGB3BP"
"1228","BX004807.1"
"1229","EFCAB7"
"1230","DLEU2L"
"1231","PGM1"
"1232","ROR1"
"1233","ROR1-AS1"
"1234","AL445205.1"
"1235","UBE2U"
"1236","CACHD1"
"1237","RAVER2"
"1238","JAK1"
"1239","LINC01359"
"1240","AL357078.2"
"1241","AK4"
"1242","DNAJC6"
"1243","AL139294.1"
"1244","LEPROT"
"1245","LEPR"
"1246","AC119800.1"
"1247","AL513493.1"
"1248","PDE4B"
"1249","AL590783.1"
"1250","SGIP1"
"1251","AL139147.1"
"1252","TCTEX1D1"
"1253","INSL5"
"1254","WDR78"
"1255","AL592161.1"
"1256","MIER1"
"1257","SLC35D1"
"1258","C1orf141"
"1259","AL133320.2"
"1260","IL23R"
"1261","IL12RB2"
"1262","SERBP1"
"1263","LINC01702"
"1264","GADD45A"
"1265","GNG12"
"1266","GNG12-AS1"
"1267","DIRAS3"
"1268","WLS"
"1269","RPE65"
"1270","DEPDC1"
"1271","AL138789.1"
"1272","DEPDC1-AS1"
"1273","AL035412.1"
"1274","AL033530.1"
"1275","AL691520.1"
"1276","LINC01707"
"1277","LINC02791"
"1278","LINC01758"
"1279","AL359894.1"
"1280","LRRC7"
"1281","AL117353.1"
"1282","AL158840.1"
"1283","LRRC40"
"1284","SRSF11"
"1285","AL353771.1"
"1286","ANKRD13C"
"1287","HHLA3"
"1288","AL158839.1"
"1289","CTH"
"1290","AL354872.2"
"1291","LINC01788"
"1292","AL513285.1"
"1293","PTGER3"
"1294","AL031429.1"
