"","rownames.merged.gut...RNA....counts."
"1295","AL031429.2"
"1296","ZRANB2-AS1"
"1297","ZRANB2"
"1298","ZRANB2-AS2"
"1299","NEGR1"
"1300","AL354949.1"
"1301","NEGR1-IT1"
"1302","AL513166.1"
"1303","AL583808.1"
"1304","LINC02796"
"1305","LINC02797"
"1306","LINC01360"
"1307","LINC02238"
"1308","AL591463.1"
"1309","LRRIQ3"
"1310","FPGT"
"1311","TNNI3K"
"1312","AC093158.1"
"1313","AC105271.1"
"1314","LRRC53"
"1315","ERICH3"
"1316","ERICH3-AS1"
"1317","AC135803.1"
"1318","CRYZ"
"1319","TYW3"
"1320","AC133865.1"
"1321","AC099786.3"
"1322","AC099786.1"
"1323","LHX8"
"1324","AC099786.2"
"1325","SLC44A5"
"1326","ACADM"
"1327","RABGGTB"
"1328","MSH4"
"1329","ASB17"
"1330","AC092813.1"
"1331","AC092813.2"
"1332","ST6GALNAC3"
"1333","AC104458.1"
"1334","LINC02567"
"1335","ST6GALNAC5"
"1336","AL035409.1"
"1337","PIGK"
"1338","AC093433.2"
"1339","AK5"
"1340","AC095030.1"
"1341","AC093575.1"
"1342","AC118549.1"
"1343","USP33"
"1344","MIGA1"
"1345","NEXN-AS1"
"1346","NEXN"
"1347","FUBP1"
"1348","DNAJB4"
"1349","GIPC2"
"1350","AC103591.3"
"1351","AC103591.4"
"1352","AC096531.2"
"1353","PTGFR"
"1354","IFI44L"
"1355","IFI44"
"1356","ADGRL4"
"1357","AL353651.2"
"1358","AL353651.1"
"1359","LINC02792"
"1360","AC099671.1"
"1361","AC098657.2"
"1362","AL606519.1"
"1363","AL136234.1"
"1364","LINC01781"
"1365","AC093154.1"
"1366","ADGRL2"
"1367","AL138799.2"
"1368","AL138799.4"
"1369","AC117944.1"
"1370","AL157944.1"
"1371","LINC01362"
"1372","LINC01361"
"1373","AC116099.1"
"1374","LINC01712"
"1375","LINC01725"
"1376","AL035706.1"
"1377","TTLL7"
"1378","TTLL7-IT1"
"1379","AC104454.2"
"1380","AL359504.2"
"1381","PRKACB"
"1382","SAMD13"
"1383","DNASE2B"
"1384","AL844170.1"
"1385","RPF1"
"1386","GNG5"
"1387","SPATA1"
"1388","CTBS"
"1389","AL359762.1"
"1390","AL359762.2"
"1391","LINC01555"
"1392","SSX2IP"
"1393","AC104169.1"
"1394","LPAR3"
"1395","MCOLN2"
"1396","WDR63"
"1397","MCOLN3"
"1398","SYDE2"
"1399","C1orf52"
"1400","BCL10"
"1401","AL078459.1"
"1402","DDAH1"
"1403","AL360219.1"
"1404","AC092807.3"
"1405","AC092807.2"
"1406","CCN1"
"1407","AC092807.1"
"1408","ZNHIT6"
"1409","COL24A1"
"1410","LINC02795"
"1411","ODF2L"
"1412","CLCA2"
"1413","CLCA1"
"1414","CLCA4"
"1415","CLCA4-AS1"
"1416","AL049597.2"
"1417","SH3GLB1"
"1418","AL355981.1"
"1419","SELENOF"
"1420","HS2ST1"
"1421","AL121989.1"
"1422","LINC01140"
"1423","LINC02801"
"1424","LMO4"
"1425","LINC01364"
"1426","PKN2-AS1"
"1427","AL445438.1"
"1428","PKN2"
"1429","GTF2B"
"1430","KYAT3"
"1431","RBMXL1"
"1432","GBP3"
"1433","GBP1"
"1434","GBP2"
"1435","AC104459.1"
"1436","GBP7"
"1437","GBP4"
"1438","AC099063.4"
"1439","GBP5"
"1440","AC099063.1"
"1441","GBP6"
"1442","AL596214.1"
"1443","LRRC8B"
"1444","LRRC8C-DT"
"1445","AC093423.2"
"1446","LRRC8C"
"1447","AC099568.1"
"1448","AC099568.2"
"1449","LRRC8D"
"1450","AL391497.1"
"1451","ZNF326"
"1452","AL161797.1"
"1453","AC098656.1"
"1454","AL627316.1"
"1455","LINC02787"
"1456","BARHL2"
"1457","AC092805.1"
"1458","LINC02609"
"1459","LINC02788"
"1460","LINC01763"
"1461","AC091614.1"
"1462","ZNF644"
"1463","HFM1"
"1464","CDC7"
"1465","TGFBR3"
"1466","BRDT"
"1467","EPHX4"
"1468","SETSIP"
"1469","BTBD8"
"1470","AC104836.1"
"1471","C1orf146"
"1472","GLMN"
"1473","RPAP2"
"1474","GFI1"
"1475","EVI5"
"1476","RPL5"
"1477","DIPK1A"
"1478","AC093577.1"
"1479","MTF2"
"1480","TMED5"
"1481","CCDC18"
"1482","CCDC18-AS1"
"1483","DR1"
"1484","FNBP1L"
"1485","BCAR3"
"1486","AL109613.1"
"1487","AL049796.1"
"1488","DNTTIP2"
"1489","GCLM"
"1490","ABCA4"
"1491","AC093579.1"
"1492","ARHGAP29"
"1493","ARHGAP29-AS1"
"1494","AC097059.1"
"1495","AC118469.2"
"1496","ABCD3"
"1497","F3"
"1498","AC093117.1"
"1499","SLC44A3"
"1500","CNN3"
"1501","AC105942.1"
"1502","ALG14"
"1503","AC095033.1"
"1504","TLCD4"
"1505","AC092802.3"
"1506","AC092802.1"
"1507","RWDD3"
"1508","AC092802.2"
"1509","AC092802.4"
"1510","LINC01760"
"1511","LINC01650"
"1512","AL445218.1"
"1513","LINC01761"
"1514","LINC02607"
"1515","AL683887.1"
"1516","LINC02790"
"1517","LINC01787"
"1518","PTBP2"
"1519","DPYD"
"1520","DPYD-AS1"
"1521","DPYD-IT1"
"1522","DPYD-AS2"
"1523","MIR137HG"
"1524","BX005019.1"
"1525","AC104453.1"
"1526","LINC01776"
"1527","SNX7"
"1528","PLPPR5"
"1529","AL445433.2"
"1530","PLPPR4"
"1531","LINC01708"
"1532","PALMD"
"1533","FRRS1"
"1534","AGL"
"1535","AC118553.1"
"1536","SLC35A3"
"1537","MFSD14A"
"1538","AC093019.2"
"1539","SASS6"
"1540","TRMT13"
"1541","LRRC39"
"1542","DBT"
"1543","AL445928.2"
"1544","RTCA-AS1"
"1545","RTCA"
"1546","AC104457.2"
"1547","CDC14A"
"1548","AL589990.1"
"1549","GPR88"
"1550","LINC01349"
"1551","AC099670.3"
"1552","VCAM1"
"1553","EXTL2"
"1554","AC104506.1"
"1555","SLC30A7"
"1556","DPH5"
"1557","AC093157.2"
"1558","AC093157.1"
"1559","AL109741.1"
"1560","S1PR1"
"1561","LINC01307"
"1562","LINC01709"
"1563","OLFM3"
"1564","AC114485.1"
"1565","AC099567.1"
"1566","COL11A1"
"1567","AC095032.2"
"1568","AC095032.1"
"1569","RNPC3"
"1570","AMY2B"
"1571","AMY2A"
"1572","AMY1A"
"1573","AMY1B"
"1574","AMY1C"
"1575","AL591888.1"
"1576","LINC01676"
"1577","LINC01677"
"1578","AL355306.2"
"1579","LINC01661"
"1580","PRMT6"
"1581","NTNG1"
"1582","VAV3"
"1583","VAV3-AS1"
"1584","LINC02785"
"1585","SLC25A24"
"1586","AL359258.2"
"1587","NBPF4"
"1588","AL359258.1"
"1589","AL390038.1"
"1590","NBPF6"
"1591","FAM102B"
"1592","HENMT1"
"1593","AL160171.1"
"1594","PRPF38B"
"1595","FNDC7"
"1596","AL591719.2"
"1597","STXBP3"
"1598","AKNAD1"
"1599","SPATA42"
"1600","GPSM2"
"1601","CLCC1"
"1602","WDR47"
"1603","TAF13"
"1604","AL356488.3"
"1605","TMEM167B"
"1606","AL356488.2"
"1607","C1orf194"
"1608","KIAA1324"
"1609","SARS"
"1610","CELSR2"
"1611","PSRC1"
"1612","MYBPHL"
"1613","SORT1"
"1614","PSMA5"
"1615","SYPL2"
"1616","ATXN7L2"
"1617","CYB561D1"
"1618","AMIGO1"
"1619","GPR61"
"1620","AL355310.3"
"1621","GNAI3"
"1622","AL355310.1"
"1623","GNAT2"
"1624","AMPD2"
"1625","AL355310.2"
"1626","GSTM4"
"1627","GSTM2"
"1628","GSTM1"
"1629","AC000032.1"
"1630","GSTM5"
"1631","AL158847.1"
"1632","GSTM3"
"1633","EPS8L3"
"1634","LINC01768"
"1635","AL450468.1"
"1636","AL450468.2"
"1637","CSF1"
"1638","AHCYL1"
"1639","STRIP1"
"1640","AL160006.1"
"1641","ALX3"
"1642","LINC01397"
"1643","UBL4B"
"1644","SLC6A17"
"1645","AL355990.1"
"1646","AL355990.2"
"1647","LINC02586"
"1648","KCNC4"
"1649","RBM15-AS1"
"1650","RBM15"
"1651","LAMTOR5-AS1"
"1652","SLC16A4"
"1653","AL355488.1"
"1654","LAMTOR5"
"1655","PROK1"
"1656","AL358215.1"
"1657","AL358215.2"
"1658","CYMP-AS1"
"1659","KCNA10"
"1660","KCNA2"
"1661","AL365361.1"
"1662","KCNA3"
"1663","CD53"
"1664","AL360270.2"
"1665","AL360270.1"
"1666","LRIF1"
"1667","AL360270.3"
"1668","DRAM2"
"1669","CEPT1"
"1670","AL355816.1"
"1671","AL355816.2"
"1672","DENND2D"
"1673","CHI3L2"
"1674","CHIA"
"1675","AL356387.1"
"1676","PIFO"
"1677","OVGP1"
"1678","AL390195.2"
"1679","AL390195.1"
"1680","WDR77"
"1681","ATP5PB"
"1682","C1orf162"
"1683","TMIGD3"
"1684","ADORA3"
"1685","RAP1A"
"1686","LINC01160"
"1687","INKA2"
"1688","INKA2-AS1"
"1689","AL049557.1"
"1690","DDX20"
"1691","KCND3"
"1692","KCND3-IT1"
"1693","KCND3-AS1"
"1694","LINC01750"
"1695","AL445426.1"
"1696","CTTNBP2NL"
"1697","WNT2B"
"1698","AL354760.1"
"1699","ST7L"
"1700","CAPZA1"
"1701","MOV10"
"1702","AL603832.1"
"1703","RHOC"
"1704","PPM1J"
"1705","AL603832.2"
"1706","TAFA3"
"1707","LINC01356"
"1708","LINC01357"
"1709","SLC16A1"
"1710","SLC16A1-AS1"
"1711","AL390242.1"
"1712","LRIG2-DT"
"1713","LRIG2"
"1714","MAGI3"
"1715","PHTF1"
"1716","RSBN1"
"1717","AL137856.1"
"1718","PTPN22"
"1719","AP4B1-AS1"
"1720","BCL2L15"
"1721","AP4B1"
"1722","DCLRE1B"
"1723","HIPK1-AS1"
"1724","HIPK1"
"1725","OLFML3"
"1726","AL591742.2"
"1727","SYT6"
"1728","AL121999.1"
"1729","TRIM33"
"1730","BCAS2"
"1731","DENND2C"
"1732","AMPD1"
"1733","NRAS"
"1734","CSDE1"
"1735","SIKE1"
"1736","SYCP1"
"1737","TSHB"
"1738","TSPAN2"
"1739","LINC01765"
"1740","AL049825.1"
"1741","NGF-AS1"
"1742","NGF"
"1743","AL512638.3"
"1744","VANGL1"
"1745","CASQ2"
"1746","NHLH2"
"1747","LINC01649"
"1748","SLC22A15"
"1749","AL365318.1"
"1750","MAB21L3"
"1751","LINC01779"
"1752","AL355538.1"
"1753","ATP1A1"
"1754","ATP1A1-AS1"
"1755","LINC01762"
"1756","AL136376.1"
"1757","AL390066.1"
"1758","AL390066.2"
"1759","CD58"
"1760","IGSF3"
"1761","C1orf137"
"1762","CD2"
"1763","AL157904.1"
"1764","PTGFRN"
"1765","CD101"
"1766","AL445231.1"
"1767","TTF2"
"1768","TRIM45"
"1769","VTCN1"
"1770","LINC01525"
"1771","AL358072.1"
"1772","MAN1A2"
"1773","AL157902.1"
"1774","TENT5C"
"1775","GDAP2"
"1776","WDR3"
"1777","SPAG17"
"1778","AL391557.1"
"1779","TBX15"
"1780","AL139420.1"
"1781","AL139420.2"
"1782","WARS2"
"1783","WARS2-IT1"
"1784","WARS2-AS1"
"1785","AL359915.1"
"1786","LINC01780"
"1787","HAO2"
"1788","HAO2-IT1"
"1789","HSD3B2"
"1790","HSD3B1"
"1791","LINC00622"
"1792","ZNF697"
"1793","PHGDH"
"1794","HMGCS2"
"1795","REG4"
"1796","ADAM30"
"1797","NOTCH2"
"1798","AC245008.1"
"1799","SEC22B"
"1800","AC253572.1"
"1801","NBPF26"
"1802","AC253572.2"
"1803","PPIAL4A"
"1804","LINC00623"
"1805","FCGR1B"
"1806","AC244453.3"
"1807","AC244453.2"
"1808","AC244453.1"
"1809","FAM72B"
"1810","SRGAP2C"
"1811","SRGAP2-AS1"
"1812","LINC02798"
"1813","AL592494.1"
"1814","AL592494.2"
"1815","LINC01691"
"1816","LINC02799"
"1817","AC239800.2"
"1818","LINC02591"
"1819","HIST2H3PS2"
"1820","AC246680.1"
"1821","FAM72C"
"1822","IGKV1OR1-1"
"1823","LINC02802"
"1824","PPIAL4E"
"1825","AC246785.3"
"1826","NBPF15"
"1827","PPIAL4F"
"1828","LINC01632"
"1829","FP700111.1"
"1830","SRGAP2B"
"1831","FAM72D"
"1832","PPIAL4D"
"1833","AC245014.3"
"1834","AC245014.1"
"1835","NBPF20"
"1836","AC239860.4"
"1837","GPR89A"
"1838","PDZK1"
"1839","CD160"
"1840","RNF115"
"1841","POLR3C"
"1842","NUDT17"
"1843","PIAS3"
"1844","ANKRD35"
"1845","ITGA10"
"1846","AC243547.1"
"1847","PEX11B"
"1848","RBM8A"
"1849","LIX1L-AS1"
"1850","LIX1L"
"1851","ANKRD34A"
"1852","AC243547.2"
"1853","POLR3GL"
"1854","TXNIP"
"1855","HJV"
"1856","AC239799.2"
"1857","LINC01719"
"1858","NBPF10"
"1859","NOTCH2NLA"
"1860","AC239799.1"
"1861","PPIAL4H"
"1862","AC245407.2"
"1863","NBPF12"
"1864","AC244394.2"
"1865","PRKAB2"
"1866","AC242426.2"
"1867","FMO5"
"1868","CHD1L"
"1869","LINC00624"
"1870","BCL9"
"1871","ACP6"
"1872","AC241644.1"
"1873","GJA5"
"1874","AC241644.3"
"1875","AC241644.2"
"1876","GJA8"
"1877","GPR89B"
"1878","AC239803.1"
"1879","LINC02804"
"1880","NBPF11"
"1881","LINC02805"
"1882","AC239809.3"
"1883","LINC01731"
"1884","LINC01138"
"1885","LINC02806"
"1886","AC245100.1"
"1887","AC245100.6"
"1888","PPIAL4G"
"1889","NBPF14"
"1890","NOTCH2NLB"
"1891","NUDT4B"
"1892","PDE4DIP"
"1893","AC239802.1"
"1894","AC239802.2"
"1895","AC239804.1"
"1896","NBPF9"
"1897","AC245297.3"
"1898","AC245297.2"
"1899","NOTCH2NLC"
"1900","NBPF19"
"1901","PPIAL4C"
"1902","AC242842.1"
"1903","FCGR1A"
"1904","HIST2H2BF"
"1905","AC243772.2"
"1906","HIST2H3D"
"1907","HIST2H4A"
"1908","HIST2H3C"
"1909","HIST2H2AA3"
"1910","HIST2H2AA4"
"1911","HIST2H3A"
"1912","HIST2H4B"
"1913","AC239868.1"
"1914","HIST2H2BE"
"1915","HIST2H2AC"
"1916","HIST2H2AB"
"1917","BOLA1"
"1918","SV2A"
"1919","SF3B4"
"1920","MTMR11"
"1921","OTUD7B"
"1922","AC244033.2"
"1923","VPS45"
"1924","PLEKHO1"
"1925","AC242988.2"
"1926","ANP32E"
"1927","AC242988.1"
"1928","CA14"
"1929","APH1A"
"1930","C1orf54"
"1931","CIART"
"1932","MRPS21"
"1933","PRPF3"
"1934","RPRD2"
"1935","TARS2"
"1936","ECM1"
"1937","FALEC"
"1938","AL356356.1"
"1939","ADAMTSL4"
"1940","ADAMTSL4-AS1"
"1941","MCL1"
"1942","ENSA"
"1943","GOLPH3L"
"1944","HORMAD1"
"1945","CTSS"
"1946","CTSK"
"1947","ARNT"
"1948","CTXND2"
"1949","SETDB1"
"1950","CERS2"
"1951","AL590133.2"
"1952","AL590133.1"
"1953","ANXA9"
"1954","MINDY1"
"1955","PRUNE1"
"1956","BNIPL"
"1957","C1orf56"
"1958","CDC42SE1"
"1959","MLLT11"
"1960","GABPB2"
"1961","AL592424.1"
"1962","SEMA6C"
"1963","TNFAIP8L2"
"1964","SCNM1"
"1965","LYSMD1"
"1966","TMOD4"
"1967","VPS72"
"1968","PIP5K1A"
"1969","PSMD4"
"1970","ZNF687-AS1"
"1971","ZNF687"
"1972","PI4KB"
"1973","AL391069.3"
"1974","RFX5"
"1975","AL391069.1"
"1976","AL391069.2"
"1977","SELENBP1"
"1978","PSMB4"
"1979","POGZ"
"1980","CGN"
"1981","TUFT1"
"1982","AL365436.2"
"1983","SNX27"
"1984","AL391335.1"
"1985","CELF3"
"1986","AL589765.1"
"1987","RIIAD1"
"1988","AL589765.7"
"1989","MRPL9"
"1990","OAZ3"
"1991","AL589765.4"
"1992","AL589765.2"
"1993","AL589765.5"
"1994","TDRKH"
"1995","TDRKH-AS1"
"1996","AL589765.6"
"1997","LINGO4"
"1998","RORC"
"1999","C2CD4D"
"2000","C2CD4D-AS1"
"2001","THEM5"
"2002","THEM4"
"2003","AL450992.2"
"2004","AL450992.3"
"2005","S100A10"
"2006","AL450992.1"
"2007","S100A11"
"2008","TCHHL1"
"2009","TCHH"
"2010","AL589986.1"
"2011","RPTN"
"2012","FLG-AS1"
"2013","AL589986.2"
"2014","HRNR"
"2015","FLG"
"2016","FLG2"
"2017","CRNN"
"2018","LCE5A"
"2019","CRCT1"
"2020","LCE3E"
"2021","LCE3D"
"2022","LCE3C"
"2023","LCE3B"
"2024","LCE3A"
"2025","LCE2D"
"2026","LCE2C"
"2027","LCE2B"
"2028","LCE2A"
"2029","LCE4A"
"2030","C1orf68"
"2031","KPRP"
"2032","LCE1F"
"2033","LCE1E"
"2034","LCE1D"
"2035","LCE1C"
"2036","LCE1B"
"2037","LCE1A"
"2038","LCE6A"
"2039","AL162596.1"
"2040","SMCP"
"2041","IVL"
"2042","LINC01527"
"2043","SPRR5"
"2044","SPRR4"
"2045","SPRR1A"
"2046","SPRR3"
"2047","SPRR1B"
"2048","SPRR2D"
"2049","SPRR2A"
"2050","SPRR2B"
"2051","SPRR2E"
"2052","SPRR2F"
"2053","SPRR2G"
"2054","AL161636.1"
"2055","LELP1"
"2056","PRR9"
"2057","LOR"
"2058","PGLYRP3"
"2059","PGLYRP4"
"2060","S100A9"
"2061","S100A12"
"2062","S100A8"
"2063","S100A7A"
"2064","S100A7L2"
"2065","S100A7"
"2066","BX470102.1"
"2067","S100A6"
"2068","S100A5"
"2069","S100A4"
"2070","S100A3"
"2071","S100A2"
"2072","BX470102.2"
"2073","S100A16"
"2074","S100A14"
"2075","S100A13"
"2076","S100A1"
"2077","AL162258.2"
"2078","CHTOP"
"2079","SNAPIN"
"2080","ILF2"
"2081","NPR1"
"2082","INTS3"
"2083","AL513523.4"
"2084","AL513523.3"
"2085","SLC27A3"
"2086","GATAD2B"
"2087","AL358472.5"
"2088","DENND4B"
"2089","CRTC2"
"2090","SLC39A1"
"2091","AL358472.4"
"2092","AL358472.3"
"2093","CREB3L4"
"2094","JTB"
"2095","AL358472.2"
"2096","RAB13"
"2097","RPS27"
"2098","NUP210L"
"2099","TPM3"
"2100","C1orf189"
"2101","C1orf43"
"2102","UBAP2L"
"2103","HAX1"
"2104","AQP10"
"2105","ATP8B2"
"2106","IL6R-AS1"
"2107","IL6R"
"2108","SHE"
"2109","AL162591.2"
"2110","TDRD10"
"2111","UBE2Q1"
"2112","UBE2Q1-AS1"
"2113","AL592078.2"
"2114","CHRNB2"
"2115","AL592078.1"
"2116","ADAR"
"2117","AL606500.1"
"2118","KCNN3"
"2119","PMVK"
"2120","AL451085.1"
"2121","PBXIP1"
"2122","PYGO2"
"2123","AL451085.2"
"2124","SHC1"
"2125","CKS1B"
"2126","FLAD1"
"2127","LENEP"
"2128","ZBTB7B"
"2129","DCST2"
"2130","DCST1"
"2131","DCST1-AS1"
"2132","ADAM15"
"2133","EFNA4"
"2134","EFNA3"
"2135","EFNA1"
"2136","SLC50A1"
"2137","DPM3"
"2138","KRTCAP2"
"2139","TRIM46"
"2140","MUC1"
"2141","AC234582.1"
"2142","THBS3"
"2143","MTX1"
"2144","AC234582.2"
"2145","GBA"
"2146","FAM189B"
"2147","SCAMP3"
"2148","CLK2"
"2149","HCN3"
"2150","PKLR"
"2151","FDPS"
"2152","RUSC1-AS1"
"2153","RUSC1"
"2154","ASH1L"
"2155","ASH1L-IT1"
"2156","ASH1L-AS1"
"2157","AL353807.2"
"2158","MSTO1"
"2159","AL353807.5"
"2160","YY1AP1"
"2161","DAP3"
"2162","AL162734.1"
"2163","GON4L"
"2164","SYT11"
"2165","RIT1"
"2166","KHDC4"
"2167","RXFP4"
"2168","ARHGEF2"
"2169","AL355388.2"
"2170","AL355388.1"
"2171","AL355388.3"
"2172","SSR2"
"2173","UBQLN4"
"2174","LAMTOR2"
"2175","RAB25"
"2176","MEX3A"
"2177","LMNA"
"2178","SEMA4A"
"2179","SLC25A44"
"2180","PMF1"
"2181","BGLAP"
"2182","PAQR6"
"2183","SMG5"
"2184","TMEM79"
"2185","GLMP"
"2186","VHLL"
"2187","CCT3"
"2188","TSACC"
"2189","RHBG"
"2190","AL139130.1"
"2191","C1orf61"
"2192","MEF2D"
"2193","AL365181.1"
"2194","IQGAP3"
"2195","TTC24"
"2196","NAXE"
"2197","GPATCH4"
"2198","AL365181.4"
"2199","HAPLN2"
"2200","AL365181.2"
"2201","BCAN"
"2202","AL365181.3"
"2203","AL590666.2"
"2204","NES"
"2205","AL590666.3"
"2206","AL590666.4"
"2207","CRABP2"
"2208","AL590666.1"
"2209","ISG20L2"
"2210","RRNAD1"
"2211","MRPL24"
"2212","HDGF"
"2213","PRCC"
"2214","AL590666.5"
"2215","SH2D2A"
"2216","NTRK1"
"2217","INSRR"
"2218","PEAR1"
"2219","LRRC71"
"2220","ARHGEF11"
"2221","ETV3L"
"2222","ETV3"
"2223","AL138900.1"
"2224","LINC02772"
"2225","FCRL5"
"2226","FCRL4"
"2227","FCRL3"
"2228","AL356276.1"
"2229","FCRL2"
"2230","FCRL1"
"2231","CD5L"
"2232","KIRREL1"
"2233","KIRREL1-IT1"
"2234","AL138899.3"
"2235","LINC01704"
"2236","CD1D"
"2237","AL138899.1"
"2238","CD1A"
"2239","CD1C"
"2240","CD1B"
"2241","CD1E"
"2242","OR10T2"
"2243","OR10K2"
"2244","OR10K1"
"2245","OR10R2"
"2246","AL365440.2"
"2247","OR6Y1"
"2248","OR6P1"
"2249","OR10X1"
"2250","OR10Z1"
"2251","SPTA1"
"2252","OR6K2"
"2253","OR6K3"
"2254","OR6N1"
"2255","OR6K6"
"2256","OR6N2"
"2257","MNDA"
"2258","PYHIN1"
"2259","IFI16"
"2260","AIM2"
"2261","CADM3"
"2262","CADM3-AS1"
"2263","ACKR1"
"2264","FCER1A"
"2265","AL513323.1"
"2266","OR10J1"
"2267","LINC02819"
"2268","OR10J5"
"2269","APCS"
"2270","CRP"
"2271","DUSP23"
"2272","FCRL6"
"2273","SLAMF8"
"2274","AL590560.2"
"2275","SNHG28"
"2276","VSIG8"
"2277","AL590560.3"
"2278","CFAP45"
"2279","AL590560.5"
"2280","TAGLN2"
"2281","IGSF9"
"2282","SLAMF9"
"2283","LINC01133"
"2284","KCNJ10"
"2285","PIGM"
"2286","AL121987.1"
"2287","KCNJ9"
"2288","IGSF8"
"2289","ATP1A2"
"2290","ATP1A4"
"2291","CASQ1"
"2292","AL121987.2"
"2293","PEA15"
"2294","DCAF8"
"2295","AL139011.1"
"2296","PEX19"
"2297","COPA"
"2298","NCSTN"
"2299","NHLH1"
"2300","VANGL2"
"2301","SLAMF6"
"2302","AL138930.1"
"2303","CD84"
"2304","SLAMF1"
"2305","AL121985.1"
"2306","CD48"
"2307","SLAMF7"
"2308","LY9"
"2309","CD244"
"2310","ITLN1"
"2311","AL354714.3"
"2312","AL354714.1"
"2313","ITLN2"
"2314","F11R"
"2315","TSTD1"
"2316","USF1"
"2317","ARHGAP30"
"2318","NECTIN4"
"2319","AL591806.1"
"2320","KLHDC9"
"2321","PFDN2"
"2322","NIT1"
"2323","DEDD"
"2324","UFC1"
"2325","AL590714.1"
"2326","USP21"
"2327","PPOX"
"2328","B4GALT3"
"2329","ADAMTS4"
"2330","NDUFS2"
"2331","FCER1G"
"2332","APOA2"
"2333","TOMM40L"
"2334","NR1I3"
"2335","PCP4L1"
"2336","MPZ"
"2337","SDHC"
"2338","CFAP126"
"2339","AL592295.4"
"2340","AL592295.5"
"2341","AL592295.3"
"2342","AL831711.1"
"2343","FCGR2A"
"2344","HSPA6"
"2345","FCGR3A"
"2346","AL590385.1"
"2347","FCGR3B"
"2348","FCGR2B"
"2349","AL451067.1"
"2350","FCRLA"
"2351","FCRLB"
"2352","DUSP12"
"2353","AL359541.1"
"2354","ATF6"
"2355","OLFML2B"
"2356","AL590408.1"
"2357","NOS1AP"
"2358","AL450163.1"
"2359","AL512785.1"
"2360","SPATA46"
"2361","C1orf226"
"2362","SH2D1B"
"2363","UHMK1"
"2364","AL596325.1"
"2365","UAP1"
"2366","AL596325.2"
"2367","DDR2"
"2368","HSD17B7"
"2369","CCDC190"
"2370","RGS4"
"2371","RGS5"
"2372","AL499616.1"
"2373","AL592435.1"
"2374","AL592435.2"
"2375","NUF2"
"2376","PBX1"
"2377","AL391001.1"
"2378","AL357568.1"
"2379","AL357568.2"
"2380","LMX1A"
"2381","AL390730.1"
"2382","AL390730.2"
"2383","RXRG"
"2384","LRRC52-AS1"
"2385","LRRC52"
"2386","AL356441.1"
"2387","MGST3"
"2388","ALDH9A1"
"2389","AL451074.5"
"2390","TMCO1"
"2391","TMCO1-AS1"
"2392","UCK2"
"2393","AL358115.1"
"2394","FAM78B"
"2395","AL626787.1"
"2396","AL596087.3"
"2397","AL596087.2"
"2398","AL583804.1"
"2399","LINC01675"
"2400","POGK"
"2401","TADA1"
"2402","ILDR2"
"2403","MAEL"
"2404","AL158837.1"
"2405","GPA33"
"2406","DUSP27"
"2407","LINC01363"
"2408","AL451050.2"
"2409","POU2F1"
"2410","AL136984.1"
"2411","CD247"
"2412","AL359962.3"
"2413","AL359962.1"
"2414","AL359962.2"
"2415","CREG1"
"2416","AL031733.2"
"2417","RCSD1"
"2418","MPZL1"
"2419","ADCY10"
"2420","Z99943.1"
"2421","MPC2"
"2422","DCAF6"
"2423","GPR161"
"2424","TIPRL"
"2425","SFT2D2"
"2426","TBX19"
"2427","AL023755.1"
"2428","AL022100.2"
"2429","XCL2"
"2430","XCL1"
"2431","DPT"
"2432","AL031275.1"
"2433","LINC00626"
"2434","AL135926.2"
"2435","LINC00970"
"2436","AL031726.2"
"2437","AL031726.1"
"2438","ATP1B1"
"2439","NME7"
"2440","Z99758.1"
"2441","BLZF1"
"2442","CCDC181"
"2443","SLC19A2"
"2444","Z99572.1"
"2445","F5"
"2446","SELP"
"2447","C1orf112"
"2448","SELL"
"2449","SELE"
"2450","AL021940.1"
"2451","METTL18"
"2452","SCYL3"
"2453","KIFAP3"
"2454","AL356475.1"
"2455","METTL11B"
"2456","LINC01681"
"2457","LINC01142"
"2458","GORAB-AS1"
"2459","GORAB"
"2460","AL162399.1"
"2461","AL023495.1"
"2462","PRRX1"
"2463","Z97200.1"
"2464","BX284613.2"
"2465","MROH9"
"2466","FMO3"
"2467","FMO2"
"2468","AL021026.1"
"2469","FMO1"
"2470","FMO4"
"2471","PRRC2C"
"2472","MYOCOS"
"2473","MYOC"
"2474","VAMP4"
"2475","EEF1AKNMT"
"2476","DNM3"
"2477","DNM3-IT1"
"2478","DNM3OS"
"2479","AL137157.1"
"2480","PIGC"
"2481","C1orf105"
"2482","SUCO"
"2483","FASLG"
"2484","AL031599.1"
"2485","Z97198.1"
"2486","TNFSF18"
"2487","AL022310.1"
"2488","TNFSF4"
"2489","AL645568.1"
"2490","PRDX6"
"2491","SLC9C2"
"2492","AL139142.1"
"2493","ANKRD45"
"2494","TEX50"
"2495","KLHL20"
"2496","CENPL"
"2497","DARS2"
"2498","GAS5"
"2499","GAS5-AS1"
"2500","ZBTB37"
"2501","SERPINC1"
"2502","RC3H1"
"2503","RC3H1-IT1"
"2504","LINC02776"
"2505","RABGAP1L-DT"
"2506","RABGAP1L"
"2507","GPR52"
"2508","RABGAP1L-IT1"
"2509","Z99127.1"
"2510","Z99127.4"
"2511","CACYBP"
"2512","MRPS14"
"2513","TNN"
"2514","KIAA0040"
"2515","AL008626.1"
"2516","Z94057.1"
"2517","TNR"
"2518","TNR-IT1"
